churn_at_dt,churn probability,prediction,employee_cluster
1.0,0.08,0.0,1
1.0,0.2,0.0,1
1.0,0.63,1.0,1
0.0,0.1,0.0,1
1.0,0.54,1.0,1
0.0,0.54,1.0,1
1.0,0.43,0.0,1
0.0,0.75,1.0,1
1.0,0.5748571428571428,1.0,1
0.0,0.32,0.0,1
1.0,0.39,0.0,1
0.0,0.18,0.0,1
0.0,0.08947619047619047,0.0,1
0.0,0.3,0.0,1
0.0,0.36,0.0,1
1.0,0.31,0.0,1
0.0,0.16,0.0,1
0.0,0.7,1.0,1
0.0,0.1,0.0,1
1.0,0.46,0.0,1
1.0,0.47,0.0,1
0.0,0.43,0.0,1
0.0,0.095,0.0,1
1.0,0.52,1.0,1
0.0,0.57,1.0,1
0.0,0.38,0.0,1
0.0,0.24,0.0,1
0.0,0.36,0.0,1
0.0,0.14,0.0,1
1.0,0.58,1.0,1
1.0,0.63,1.0,1
1.0,0.41,0.0,1
1.0,0.06159523809523809,0.0,1
1.0,0.37,0.0,1
0.0,0.15,0.0,1
1.0,0.76,1.0,1
1.0,0.33,0.0,1
1.0,0.2,0.0,1
1.0,0.39,0.0,1
0.0,0.4,0.0,1
1.0,0.65,1.0,1
0.0,0.44,0.0,1
0.0,0.34,0.0,1
0.0,0.45,0.0,1
0.0,0.27,0.0,1
1.0,0.74,1.0,1
1.0,0.1792021312021312,0.0,1
0.0,0.74,1.0,1
0.0,0.24,0.0,1
0.0,0.15,0.0,1
0.0,0.0,0.0,1
0.0,0.35,0.0,1
0.0,0.55,1.0,1
0.0,0.31,0.0,1
1.0,0.7,1.0,1
0.0,0.55,1.0,1
1.0,0.23866666666666667,0.0,1
0.0,0.26,0.0,1
1.0,0.51,1.0,1
0.0,0.19,0.0,1
1.0,0.32,0.0,1
1.0,0.14,0.0,1
0.0,0.45833333333333337,0.0,1
1.0,0.52,1.0,1
1.0,0.36,0.0,1
1.0,0.13,0.0,1
1.0,0.36,0.0,1
0.0,0.67,1.0,1
1.0,1.0,1.0,1
1.0,0.35,0.0,1
0.0,0.4963214285714286,0.0,1
1.0,0.54,1.0,1
0.0,0.42,0.0,1
1.0,0.21013813229254402,0.0,1
0.0,0.11,0.0,1
0.0,0.44,0.0,1
0.0,0.365,0.0,1
0.0,0.49,0.0,1
1.0,0.59,1.0,1
0.0,0.33,0.0,1
